customer_fname,customer_lname,email,city,age,mobile,customer_since,loyalty_tier
Sneha,Reddy,sneha.reddy77@mail.com,Pune,59,9217459615,2026-01-04,Bronze
Meera,Iyer,meera.iyer78@mail.com,Hyderabad,58,9780913431,2026-06-22,Bronze
Vivaan,Kumar,vivaan.kumar79@mail.com,Pune,28,9400504556,2026-04-22,Bronze
Sai,Das,sai.das80@mail.com,Pune,54,9222196937,2026-02-07,Bronze
Aditya,Patel,aditya.patel81@mail.com,Pune,58,9474074821,2026-05-30,Bronze
Priya,Joshi,priya.joshi82@mail.com,Hyderabad,58,9647436713,2026-04-24,Bronze
Arjun,Nair,arjun.nair83@mail.com,Mumbai,36,9406409097,2026-04-08,Bronze
Sai,Joshi,sai.joshi84@mail.com,Hyderabad,32,9394210470,2026-03-15,Bronze
Priya,Reddy,priya.reddy85@mail.com,Chennai,36,9562328588,2026-05-29,Bronze
Aditya,Singh,aditya.singh86@mail.com,Pune,36,9517123685,2026-03-11,Bronze
Ananya,Sharma,ananya.sharma87@mail.com,Hyderabad,52,9175496513,2026-01-24,Bronze
Aarav,Joshi,aarav.joshi88@mail.com,Mumbai,38,9931746120,2026-05-01,Bronze
Rahul,Gupta,rahul.gupta89@mail.com,Chennai,24,9382675869,2026-01-10,Bronze
Sneha,Reddy,sneha.reddy90@mail.com,Pune,59,9179640537,2026-07-10,Bronze
Sai,Nair,sai.nair91@mail.com,Chennai,61,9585064317,2026-04-24,Bronze
Lakshmi,Patel,lakshmi.patel92@mail.com,Mumbai,19,9053293183,2026-01-24,Bronze
Sai,Patel,sai.patel93@mail.com,Hyderabad,27,9904228421,2026-05-31,Bronze
Aarav,Reddy,aarav.reddy94@mail.com,Chennai,40,9395024026,2026-06-19,Bronze
Vivaan,Kumar,vivaan.kumar95@mail.com,Pune,46,9589178390,2026-05-15,Bronze
Lakshmi,Das,lakshmi.das96@mail.com,Hyderabad,47,9007661771,2026-07-06,Bronze
Priya,Joshi,priya.joshi97@mail.com,Bengaluru,22,9249985698,2026-01-21,Bronze
Kiran,Das,kiran.das98@mail.com,Mumbai,45,9118367365,2026-03-17,Bronze
Ananya,Iyer,ananya.iyer99@mail.com,Chennai,38,9654527111,2026-04-27,Bronze
Ananya,Kumar,ananya.kumar100@mail.com,Hyderabad,26,9809885165,2026-01-24,Bronze
Ananya,Sharma,ananya.sharma101@mail.com,Hyderabad,56,9451983273,2026-06-20,Bronze
Priya,Das,priya.das102@mail.com,Hyderabad,25,9493689980,2026-01-28,Bronze
Lakshmi,Singh,lakshmi.singh103@mail.com,Chennai,29,9445502296,2026-06-05,Bronze
Aditya,Sharma,aditya.sharma104@mail.com,Chennai,65,9836675254,2026-01-18,Bronze
Priya,Joshi,priya.joshi105@mail.com,Mumbai,23,9022901476,2026-07-04,Bronze
Arjun,Gupta,arjun.gupta106@mail.com,Pune,35,9381561497,2026-05-05,Bronze
Lakshmi,Singh,lakshmi.singh107@mail.com,Chennai,32,9690034324,2026-05-15,Bronze
Priya,Kumar,priya.kumar108@mail.com,Chennai,49,9622683885,2026-03-16,Bronze
Ananya,Sharma,ananya.sharma109@mail.com,Pune,19,9715969664,2026-01-19,Bronze
Ananya,Sharma,ananya.sharma110@mail.com,Hyderabad,28,9975161369,2026-01-30,Bronze
Meera,Kumar,meera.kumar111@mail.com,Pune,37,9535218188,2026-04-13,Bronze
Priya,Nair,priya.nair112@mail.com,Bengaluru,33,9124329212,2026-02-19,Bronze
Kiran,Gupta,kiran.gupta113@mail.com,Mumbai,55,9799552717,2026-06-10,Bronze
Lakshmi,Singh,lakshmi.singh114@mail.com,Hyderabad,55,9058147700,2026-04-24,Bronze
Rahul,Kumar,rahul.kumar115@mail.com,Chennai,57,9986798079,2026-04-05,Bronze
Sai,Nair,sai.nair116@mail.com,Mumbai,48,9820715182,2026-06-16,Bronze
Sai,Gupta,sai.gupta117@mail.com,Pune,51,9892554665,2026-01-11,Bronze
Arjun,Sharma,arjun.sharma118@mail.com,Hyderabad,22,9518644925,2026-06-23,Bronze
Arjun,Reddy,arjun.reddy119@mail.com,Hyderabad,37,9629148652,2026-01-21,Bronze
Sneha,Das,sneha.das120@mail.com,Chennai,59,9685054235,2026-06-21,Bronze
Sai,Patel,sai.patel121@mail.com,Bengaluru,27,9141888059,2026-05-05,Bronze
Arjun,Iyer,arjun.iyer122@mail.com,Bengaluru,28,9292706537,2026-02-03,Bronze
Rahul,Gupta,rahul.gupta123@mail.com,Bengaluru,52,9347359774,2026-06-06,Bronze
Meera,Das,meera.das124@mail.com,Pune,28,9392407581,2026-04-08,Bronze
Meera,Kumar,meera.kumar125@mail.com,Hyderabad,23,9247826137,2026-07-02,Bronze
Aarav,Iyer,aarav.iyer126@mail.com,Chennai,43,9853615305,2026-03-31,Bronze
Sneha,Nair,sneha.nair127@mail.com,Bengaluru,26,9047277901,2026-01-26,Bronze
Rahul,Patel,rahul.patel128@mail.com,Bengaluru,53,9986143410,2026-01-05,Bronze
Ananya,Joshi,ananya.joshi129@mail.com,Pune,22,9179808932,2026-03-03,Bronze
Ananya,Sharma,ananya.sharma130@mail.com,Mumbai,40,9396218518,2026-03-16,Bronze
Meera,Das,meera.das131@mail.com,Mumbai,19,9670654051,2026-05-20,Bronze
Sai,Kumar,sai.kumar132@mail.com,Mumbai,65,9520585277,2026-03-30,Bronze
Aditya,Reddy,aditya.reddy133@mail.com,Chennai,63,9704303054,2026-06-11,Bronze
Ananya,Das,ananya.das134@mail.com,Pune,34,9034505415,2026-05-12,Bronze
Ananya,Gupta,ananya.gupta135@mail.com,Pune,39,9277584161,2026-04-22,Bronze
Arjun,Reddy,arjun.reddy136@mail.com,Mumbai,36,9511544796,2026-04-21,Bronze
Sneha,Gupta,sneha.gupta137@mail.com,Hyderabad,46,9059640165,2026-02-12,Bronze
Sneha,Reddy,sneha.reddy138@mail.com,Chennai,27,9970213556,2026-05-12,Bronze
Aarav,Joshi,aarav.joshi139@mail.com,Bengaluru,61,9755719285,2026-05-26,Bronze
Priya,Singh,priya.singh140@mail.com,Bengaluru,25,9027868144,2026-04-12,Bronze
Kiran,Patel,kiran.patel141@mail.com,Mumbai,36,9731217271,2026-06-30,Bronze
Priya,Nair,priya.nair142@mail.com,Chennai,53,9844225831,2026-06-24,Bronze
Aditya,Patel,aditya.patel143@mail.com,Pune,19,9589578291,2026-02-21,Bronze
Rahul,Iyer,rahul.iyer144@mail.com,Pune,51,9669125177,2026-01-17,Bronze
Meera,Nair,meera.nair145@mail.com,Bengaluru,53,9922680182,2026-06-24,Bronze
Aditya,Reddy,aditya.reddy146@mail.com,Hyderabad,63,9358414384,2026-03-19,Bronze
Lakshmi,Singh,lakshmi.singh147@mail.com,Mumbai,52,9182992299,2026-02-02,Bronze
Arjun,Sharma,arjun.sharma148@mail.com,Chennai,23,9094396907,2026-03-28,Bronze
Meera,Singh,meera.singh149@mail.com,Hyderabad,48,9364710276,2026-06-10,Bronze
Kiran,Patel,kiran.patel150@mail.com,Hyderabad,56,9255562588,2026-05-04,Bronze
Priya,Patel,priya.patel151@mail.com,Pune,25,9473210469,2026-01-28,Bronze
Sai,Reddy,sai.reddy152@mail.com,Hyderabad,54,9532787747,2026-04-18,Bronze
Vivaan,Iyer,vivaan.iyer153@mail.com,Mumbai,47,9339500479,2026-01-06,Bronze
Lakshmi,Gupta,lakshmi.gupta154@mail.com,Hyderabad,52,9016245650,2026-06-17,Bronze
Aarav,Joshi,aarav.joshi155@mail.com,Mumbai,30,9584168784,2026-04-13,Bronze
Lakshmi,Joshi,lakshmi.joshi156@mail.com,Chennai,26,9165585239,2026-06-09,Bronze
Ananya,Das,ananya.das157@mail.com,Chennai,20,9025787298,2026-05-11,Bronze
Priya,Joshi,priya.joshi158@mail.com,Hyderabad,28,9694958887,2026-02-05,Bronze
Arjun,Singh,arjun.singh159@mail.com,Pune,19,9551694097,2026-07-01,Bronze
Lakshmi,Joshi,lakshmi.joshi160@mail.com,Mumbai,32,9097289623,2026-03-09,Bronze
Arjun,Kumar,arjun.kumar161@mail.com,Bengaluru,19,9756263689,2026-01-09,Bronze
Sneha,Sharma,sneha.sharma162@mail.com,Bengaluru,51,9385786527,2026-05-01,Bronze
Priya,Das,priya.das163@mail.com,Hyderabad,61,9497334843,2026-05-17,Bronze
Rahul,Patel,rahul.patel164@mail.com,Pune,38,9758441986,2026-03-18,Bronze
Priya,Reddy,priya.reddy165@mail.com,Hyderabad,20,9415747338,2026-04-12,Bronze
Meera,Singh,meera.singh166@mail.com,Bengaluru,24,9993308330,2026-03-11,Bronze
Ananya,Nair,ananya.nair167@mail.com,Pune,24,9208267734,2026-01-26,Bronze
Rahul,Sharma,rahul.sharma168@mail.com,Chennai,59,9938026206,2026-03-24,Bronze
Aditya,Singh,aditya.singh169@mail.com,Chennai,18,9499154788,2026-05-07,Bronze
Aditya,Das,aditya.das170@mail.com,Pune,35,9315274205,2026-05-07,Bronze
Arjun,Patel,arjun.patel171@mail.com,Bengaluru,57,9668516122,2026-03-17,Bronze
Priya,Patel,priya.patel172@mail.com,Chennai,34,9637454990,2026-05-03,Bronze
Lakshmi,Nair,lakshmi.nair173@mail.com,Bengaluru,21,9174268414,2026-03-08,Bronze
Arjun,Patel,arjun.patel174@mail.com,Bengaluru,26,9727956878,2026-04-05,Bronze
Sai,Patel,sai.patel175@mail.com,Mumbai,23,9878519108,2026-06-20,Bronze
Sai,Joshi,sai.joshi176@mail.com,Mumbai,27,9258713971,2026-05-10,Bronze
Kiran,Sharma,kiran.sharma177@mail.com,Pune,26,9867908740,2026-05-11,Bronze
Rahul,Sharma,rahul.sharma178@mail.com,Bengaluru,55,9106518017,2026-04-12,Bronze
Rahul,Iyer,rahul.iyer179@mail.com,Bengaluru,26,9656766182,2026-01-09,Bronze
Priya,Kumar,priya.kumar180@mail.com,Bengaluru,52,9682300478,2026-06-17,Bronze
Meera,Iyer,meera.iyer181@mail.com,Bengaluru,33,9752431069,2026-04-19,Bronze
Sai,Patel,sai.patel182@mail.com,Chennai,24,9907903067,2026-01-05,Bronze
Meera,Patel,meera.patel183@mail.com,Chennai,26,9843959953,2026-03-01,Bronze
Aditya,Das,aditya.das184@mail.com,Bengaluru,44,9440892687,2026-03-19,Bronze
Priya,Iyer,priya.iyer185@mail.com,Mumbai,38,9662462873,2026-01-13,Bronze
Rahul,Reddy,rahul.reddy186@mail.com,Pune,21,9866882634,2026-02-27,Bronze
Priya,Kumar,priya.kumar187@mail.com,Pune,41,9183046990,2026-02-22,Bronze
Sai,Joshi,sai.joshi188@mail.com,Mumbai,31,9735403317,2026-01-19,Bronze
Sneha,Joshi,sneha.joshi189@mail.com,Bengaluru,43,9385467854,2026-03-04,Bronze
Priya,Das,priya.das190@mail.com,Pune,47,9175355609,2026-03-08,Bronze
Sneha,Reddy,sneha.reddy191@mail.com,Chennai,34,9899642353,2026-02-26,Bronze
Arjun,Patel,arjun.patel192@mail.com,Pune,53,9547772522,2026-04-08,Bronze
Meera,Gupta,meera.gupta193@mail.com,Bengaluru,52,9080100623,2026-07-04,Bronze
Sneha,Reddy,sneha.reddy194@mail.com,Chennai,31,9875099770,2026-01-18,Bronze
Meera,Das,meera.das195@mail.com,Pune,18,9084840862,2026-01-02,Bronze
Vivaan,Das,vivaan.das196@mail.com,Bengaluru,33,9398454615,2026-01-28,Bronze
Kiran,Joshi,kiran.joshi197@mail.com,Bengaluru,62,9341016668,2026-04-14,Bronze
Aarav,Sharma,aarav.sharma198@mail.com,Bengaluru,23,9765918033,2026-05-02,Bronze
Arjun,Gupta,arjun.gupta199@mail.com,Hyderabad,20,9148902503,2026-06-27,Bronze
Aditya,Iyer,aditya.iyer200@mail.com,Chennai,37,9293968562,2026-05-31,Bronze
Sneha,Kumar,sneha.kumar201@mail.com,Mumbai,65,9501631599,2026-06-26,Bronze
Ananya,Nair,ananya.nair202@mail.com,Chennai,58,9477358662,2026-06-02,Bronze
Arjun,Iyer,arjun.iyer203@mail.com,Chennai,57,9431142626,2026-06-24,Bronze
Priya,Kumar,priya.kumar204@mail.com,Chennai,18,9475412126,2026-03-23,Bronze
Meera,Das,meera.das205@mail.com,Mumbai,44,9101581995,2026-04-25,Bronze
Aarav,Singh,aarav.singh206@mail.com,Pune,42,9183982622,2026-04-09,Bronze
Rahul,Singh,rahul.singh207@mail.com,Pune,27,9126464715,2026-03-10,Bronze
Sai,Gupta,sai.gupta208@mail.com,Mumbai,57,9371240659,2026-03-06,Bronze
Priya,Gupta,priya.gupta209@mail.com,Hyderabad,45,9924593752,2026-04-08,Bronze
Priya,Singh,priya.singh210@mail.com,Pune,54,9356465193,2026-04-12,Bronze
Meera,Reddy,meera.reddy211@mail.com,Mumbai,19,9737416724,2026-06-01,Bronze
Rahul,Reddy,rahul.reddy212@mail.com,Pune,42,9179796886,2026-03-03,Bronze
Aarav,Nair,aarav.nair213@mail.com,Mumbai,56,9113529096,2026-05-20,Bronze
Ananya,Kumar,ananya.kumar214@mail.com,Chennai,24,9438889937,2026-03-26,Bronze
Ananya,Gupta,ananya.gupta215@mail.com,Mumbai,62,9825071461,2026-04-06,Bronze
Sneha,Reddy,sneha.reddy216@mail.com,Hyderabad,37,9573875717,2026-01-30,Bronze
Sneha,Gupta,sneha.gupta217@mail.com,Hyderabad,22,9401051238,2026-07-04,Bronze
Meera,Reddy,meera.reddy218@mail.com,Hyderabad,53,9673622660,2026-02-14,Bronze
Arjun,Patel,arjun.patel219@mail.com,Pune,55,9660334191,2026-07-08,Bronze
Aditya,Nair,aditya.nair220@mail.com,Hyderabad,30,9714785969,2026-05-18,Bronze
Arjun,Kumar,arjun.kumar221@mail.com,Hyderabad,40,9792499125,2026-04-11,Bronze
Sai,Singh,sai.singh222@mail.com,Chennai,29,9528669296,2026-01-31,Bronze
Aditya,Gupta,aditya.gupta223@mail.com,Mumbai,62,9282742257,2026-04-19,Bronze
Aarav,Nair,aarav.nair224@mail.com,Chennai,49,9236887676,2026-06-08,Bronze
Kiran,Gupta,kiran.gupta225@mail.com,Bengaluru,23,9903404384,2026-07-01,Bronze
Kiran,Joshi,kiran.joshi226@mail.com,Pune,53,9819148580,2026-02-13,Bronze
Kiran,Das,kiran.das227@mail.com,Bengaluru,45,9134074517,2026-07-04,Bronze
Sai,Patel,sai.patel228@mail.com,Mumbai,62,9596292330,2026-01-31,Bronze
Priya,Das,priya.das229@mail.com,Hyderabad,56,9825449481,2026-05-26,Bronze
Ananya,Sharma,ananya.sharma230@mail.com,Hyderabad,59,9223253672,2026-02-04,Bronze
Lakshmi,Singh,lakshmi.singh231@mail.com,Pune,42,9711684577,2026-05-28,Bronze
Arjun,Sharma,arjun.sharma232@mail.com,Chennai,64,9751863637,2026-03-25,Bronze
Priya,Singh,priya.singh233@mail.com,Hyderabad,53,9929750017,2026-03-10,Bronze
Vivaan,Reddy,vivaan.reddy234@mail.com,Pune,47,9063242415,2026-01-05,Bronze
Vivaan,Nair,vivaan.nair235@mail.com,Bengaluru,21,9643611037,2026-03-06,Bronze
Aditya,Joshi,aditya.joshi236@mail.com,Bengaluru,51,9700516271,2026-01-20,Bronze
Ananya,Kumar,ananya.kumar237@mail.com,Chennai,24,9554262218,2026-02-28,Bronze
Aarav,Joshi,aarav.joshi238@mail.com,Bengaluru,46,9532697311,2026-05-25,Bronze
Vivaan,Joshi,vivaan.joshi239@mail.com,Pune,40,9652341389,2026-02-05,Bronze
Sneha,Joshi,sneha.joshi240@mail.com,Hyderabad,62,9043898364,2026-06-03,Bronze
Aarav,Patel,aarav.patel241@mail.com,Pune,42,9137918055,2026-06-15,Bronze
Ananya,Joshi,ananya.joshi242@mail.com,Pune,41,9827109104,2026-02-03,Bronze
Aarav,Sharma,aarav.sharma243@mail.com,Pune,50,9486661889,2026-02-25,Bronze
Rahul,Kumar,rahul.kumar244@mail.com,Hyderabad,23,9832856914,2026-02-09,Bronze
Ananya,Patel,ananya.patel245@mail.com,Chennai,33,9161799042,2026-06-28,Bronze
Aarav,Reddy,aarav.reddy246@mail.com,Chennai,28,9758842524,2026-01-31,Bronze
Vivaan,Sharma,vivaan.sharma247@mail.com,Hyderabad,45,9481491778,2026-07-07,Bronze
Aarav,Gupta,aarav.gupta248@mail.com,Mumbai,28,9524191380,2026-04-03,Bronze
Aarav,Patel,aarav.patel249@mail.com,Chennai,48,9562208635,2026-01-12,Bronze
Ananya,Nair,ananya.nair250@mail.com,Hyderabad,22,9951802380,2026-03-05,Bronze
Vivaan,Gupta,vivaan.gupta251@mail.com,Hyderabad,37,9518705349,2026-04-13,Bronze
Sneha,Joshi,sneha.joshi252@mail.com,Bengaluru,47,9597383206,2026-03-19,Bronze
Sai,Das,sai.das253@mail.com,Hyderabad,58,9050641383,2026-01-07,Bronze
Kiran,Sharma,kiran.sharma254@mail.com,Bengaluru,63,9410386571,2026-04-18,Bronze
Vivaan,Das,vivaan.das255@mail.com,Bengaluru,58,9619906234,2026-05-29,Bronze
Priya,Iyer,priya.iyer256@mail.com,Hyderabad,38,9743132912,2026-03-08,Bronze
Aditya,Gupta,aditya.gupta257@mail.com,Pune,38,9618537474,2026-01-28,Bronze
Vivaan,Reddy,vivaan.reddy258@mail.com,Hyderabad,63,9903521356,2026-01-31,Bronze
Aarav,Singh,aarav.singh259@mail.com,Hyderabad,29,9067883171,2026-05-12,Bronze
Vivaan,Sharma,vivaan.sharma260@mail.com,Chennai,32,9236519941,2026-02-05,Bronze
Vivaan,Patel,vivaan.patel261@mail.com,Pune,26,9151070296,2026-01-06,Bronze
Ananya,Gupta,ananya.gupta262@mail.com,Chennai,42,9625324472,2026-07-05,Bronze
Arjun,Joshi,arjun.joshi263@mail.com,Mumbai,33,9476870146,2026-01-09,Bronze
Ananya,Patel,ananya.patel264@mail.com,Mumbai,33,9806578759,2026-02-05,Bronze
Priya,Iyer,priya.iyer265@mail.com,Hyderabad,29,9059304078,2026-05-09,Bronze
Arjun,Patel,arjun.patel266@mail.com,Bengaluru,24,9334803965,2026-04-02,Bronze
Aditya,Patel,aditya.patel267@mail.com,Mumbai,38,9590599293,2026-02-14,Bronze
Meera,Singh,meera.singh268@mail.com,Bengaluru,49,9010393087,2026-05-07,Bronze
Priya,Joshi,priya.joshi269@mail.com,Bengaluru,26,9525002921,2026-01-01,Bronze
Priya,Kumar,priya.kumar270@mail.com,Hyderabad,63,9691545226,2026-05-15,Bronze
Kiran,Nair,kiran.nair271@mail.com,Bengaluru,63,9895392644,2026-06-13,Bronze
Aditya,Sharma,aditya.sharma272@mail.com,Mumbai,43,9902959391,2026-02-02,Bronze
Aditya,Nair,aditya.nair273@mail.com,Chennai,33,9552157043,2026-05-08,Bronze
Sneha,Kumar,sneha.kumar274@mail.com,Hyderabad,34,9100676267,2026-03-05,Bronze
Priya,Das,priya.das275@mail.com,Pune,24,9793271040,2026-04-07,Bronze
Rahul,Kumar,rahul.kumar276@mail.com,Chennai,39,9262181599,2026-03-23,Bronze
Sneha,Sharma,sneha.sharma277@mail.com,Pune,59,9296201533,2026-05-04,Bronze
Sneha,Das,sneha.das278@mail.com,Mumbai,34,9443106987,2026-04-15,Bronze
Aarav,Nair,aarav.nair279@mail.com,Chennai,45,9149731032,2026-02-09,Bronze
Rahul,Kumar,rahul.kumar280@mail.com,Pune,25,9467741862,2026-06-13,Bronze
Ananya,Nair,ananya.nair281@mail.com,Bengaluru,46,9047743490,2026-04-05,Bronze
Sneha,Kumar,sneha.kumar282@mail.com,Chennai,60,9586938068,2026-02-08,Bronze
Meera,Gupta,meera.gupta283@mail.com,Mumbai,33,9741608989,2026-04-18,Bronze
Arjun,Reddy,arjun.reddy284@mail.com,Chennai,46,9223320616,2026-06-23,Bronze
Lakshmi,Reddy,lakshmi.reddy285@mail.com,Mumbai,34,9511686854,2026-02-21,Bronze
Kiran,Sharma,kiran.sharma286@mail.com,Mumbai,55,9861622999,2026-05-14,Bronze
Vivaan,Joshi,vivaan.joshi287@mail.com,Chennai,36,9856467997,2026-01-26,Bronze
Aditya,Singh,aditya.singh288@mail.com,Pune,27,9996065307,2026-01-10,Bronze
Priya,Sharma,priya.sharma289@mail.com,Hyderabad,37,9447132475,2026-03-10,Bronze
Sneha,Iyer,sneha.iyer290@mail.com,Mumbai,59,9137367850,2026-03-10,Bronze
Aditya,Kumar,aditya.kumar291@mail.com,Hyderabad,63,9862890233,2026-05-12,Bronze
